date,date_str,broadcast_time,pgmId,pgmTitle,prdid,title,url
2026-06-05,20260605,09:20,10294,AHC 아이크림 스페셜 에디션 라이브,10938472,AHC 타임 리와인드 리얼 아이크림 12개 세트,https://m.gsshop.com/prd/prd.gs?prdid=10938472&pgmID=10294
2026-06-05,20260605,09:20,10294,AHC 아이크림 스페셜 에디션 라이브,10938473,AHC 유스 래스팅 리얼 아이크림 포 페이스 5개 세트,https://m.gsshop.com/prd/prd.gs?prdid=10938473&pgmID=10294
2026-06-05,20260605,11:40,10295,SJ WANI 26SS 프리미엄 컬렉션,10827384,SJ WANI 실크 블렌디드 니트 풀오버 3종,https://m.gsshop.com/prd/prd.gs?prdid=10827384&pgmID=10295
2026-06-05,20260605,11:40,10295,SJ WANI 26SS 프리미엄 컬렉션,10827385,SJ WANI 썸머 린넨 팬츠 2종 세트,https://m.gsshop.com/prd/prd.gs?prdid=10827385&pgmID=10295
2026-06-05,20260605,14:20,10296,삼성 비스포크 가전 특가 대전,10543291,삼성 비스포크 제트 청소기 터보 (물걸레 브러쉬 포함),https://m.gsshop.com/prd/prd.gs?prdid=10543291&pgmID=10296
2026-06-05,20260605,14:20,10296,삼성 비스포크 가전 특가 대전,10543292,삼성 비스포크 슈드레서 슈즈케어 가전,https://m.gsshop.com/prd/prd.gs?prdid=10543292&pgmID=10296
2026-06-05,20260605,19:00,10297,정관장 에브리타임 리미티드 패키지,10738492,정관장 홍삼정 에브리타임 밸런스 30포 x 3박스,https://m.gsshop.com/prd/prd.gs?prdid=10738492&pgmID=10297
2026-06-06,20260606,10:00,10298,다이슨 에어랩 멀티 스타일러 라이브,10659382,다이슨 에어랩 멀티 스타일러 앤 드라이어 롱 (빈카블루),https://m.gsshop.com/prd/prd.gs?prdid=10659382&pgmID=10298
2026-06-06,20260606,10:00,10298,다이슨 에어랩 멀티 스타일러 라이브,10659383,다이슨 슈퍼소닉 헤어드라이어 오닉스 블랙,https://m.gsshop.com/prd/prd.gs?prdid=10659383&pgmID=10298
2026-06-06,20260606,13:30,10299,종근당건강 락토핏 골드 온가족 유산균,10482938,락토핏 생유산균 골드 50포 x 6통 패키지,https://m.gsshop.com/prd/prd.gs?prdid=10482938&pgmID=10299
2026-06-06,20260606,17:20,10300,제주 삼다수 무라벨 특별전,10382948,제주 삼다수 그린 무라벨 2L 24병 (무료배송),https://m.gsshop.com/prd/prd.gs?prdid=10382948&pgmID=10300
2026-06-06,20260606,17:20,10300,제주 삼다수 무라벨 특별전,10382949,제주 삼다수 그린 무라벨 500ml 40병,https://m.gsshop.com/prd/prd.gs?prdid=10382949&pgmID=10300
2026-06-07,20260607,11:00,10301,LG 스탠바이미 클럽 특가전,10984321,LG 스탠바이미 Go 포터블 스크린 27LX5QKNA,https://m.gsshop.com/prd/prd.gs?prdid=10984321&pgmID=10301
2026-06-07,20260607,11:00,10301,LG 스탠바이미 클럽 특가전,10984322,LG 스탠바이미 스마트 스크린 27ART10AKPL,https://m.gsshop.com/prd/prd.gs?prdid=10984322&pgmID=10301
2026-06-07,20260607,15:00,10302,설화수 자음 2종 세트 단독 혜택,10274938,설화수 자음 2종 기획 세트 (자음수+자음유액),https://m.gsshop.com/prd/prd.gs?prdid=10274938&pgmID=10302
2026-06-07,20260607,19:40,10303,발뮤다 썸머 키친 베스트 셀러전,10184928,발뮤다 더 토스터 스팀 오븐 K05B-BK (블랙),https://m.gsshop.com/prd/prd.gs?prdid=10184928&pgmID=10303
2026-06-07,20260607,19:40,10303,발뮤다 썸머 키친 베스트 셀러전,10184929,발뮤다 더 그린팬 그린 서큘레이터 EGF-3300-DK,https://m.gsshop.com/prd/prd.gs?prdid=10184929&pgmID=10303
2026-06-08,20260608,10:20,10304,에스티로더 갈색병 리페어 세럼 특집,10839485,에스티로더 어드밴스드 나이트 리페어 싱크로나이즈드 50ml,https://m.gsshop.com/prd/prd.gs?prdid=10839485&pgmID=10304
2026-06-08,20260608,14:00,10305,쿠쿠 마스터셰프 트윈프레셔 밥솥,10583929,쿠쿠 10인용 트윈프레셔 마스터셰프 IH 압력밥솥 CRP-LHTR1010FD,https://m.gsshop.com/prd/prd.gs?prdid=10583929&pgmID=10305
2026-06-08,20260608,19:20,10306,네스프레소 버츄오 커피머신전,10293848,네스프레소 버츄오 팝 커피머신 (코코넛 화이트) + 캡슐 패키지,https://m.gsshop.com/prd/prd.gs?prdid=10293848&pgmID=10306
